EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,10,Adequate hand washing facilities supplied and accessible,No,Individual disposable towels and/or hand drying device not provided at lavatory or hand sink.,605,13
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,9,NO BARE HAND CONTACT WITH READY-TO-EAT FOODS OR APPROVED ALTERNATE METHOD FOLLOWED,Yes,Bare hand contact with ready to eat foods. (limes),605,14
85098,6/22/2021 4:00:00 AM,1605009,FOOD SERVICE,CHINESE GOURMET EXPRESS,5000,"SHELBYVILLE RD, STE 1635",LOUISVILLE,KY,40207,REGULAR,84,56,"Physical facilities installed, maintained and clean",No,Employee clothing/possessions not stored properly.,605,15
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items improperly stored. (chemicals being stored over top of or next to food and clean equipment)  Toxic items not labeled.,605,16
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,44,"In-use utensils, properly stored",No,Utensil handle in contact with food (ice scoop). ,605,17
79560,9/17/2020 4:00:00 AM,1562876,FOOD SERVICE,SHIRAZ MEDITERRANEAN GRILL,2210,HOLIDAY MANOR CTR,LOUISVILLE,KY,40222,REGULAR,84,2,Certified food protection manager,No,No certified food manager present.,605,18
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,55,Garbage/refuse properly disposed; facilities maintained,No,Garbage/refuse containers not covered as required. (dumpster),605,19
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of insects.,605,20
85098,6/22/2021 4:00:00 AM,1605009,FOOD SERVICE,CHINESE GOURMET EXPRESS,5000,"SHELBYVILLE RD, STE 1635",LOUISVILLE,KY,40207,REGULAR,84,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area.",605,21
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,22
79560,9/17/2020 4:00:00 AM,1562876,FOOD SERVICE,SHIRAZ MEDITERRANEAN GRILL,2210,HOLIDAY MANOR CTR,LOUISVILLE,KY,40222,REGULAR,84,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area. (Drinking while preppping tomatoes) ",605,23
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,15,Food separated and protected,No,Ready-to-eat food subject to contamination by raw animal product. (waffle mix),605,24
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,56,"Physical facilities installed, maintained and clean",No,Employee clothing/possessions not stored properly. (shirt stored against onions),605,25
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,2,Certified food protection manager,No,No certified food manager present.,605,26
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Improper storage of employee food/drinks. (open drinks being stored next to and above food, and single service items)  Personal drinks do not have a lid and straw.  Dirty plate stored next to customer food and above single service items.",605,27
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,1,"PERSON IN CHARGE  PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",Yes,Person-in-charge doesn’t demonstrate food safety knowledge.,605,28
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items improperly stored on top of and next to food and single service items.,605,29
110029,9/23/2020 4:00:00 AM,1564187,FOOD SERVICE,WAFFLE HOUSE #1398,12020,STANDIFORD PLAZA DR,LOUISVILLE,KY,40229,REGULAR,84,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed to prevent contamination from previous task. (handling dirty dishes and then handling clean dishes without washing hands),605,30
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,56,"Physical facilities installed, maintained and clean",No,Floors not clean under equipment.  Accumulation of soil on walk-in fans.  Ceilings and walls not clean.,605,31
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,54,"Toilet facilities:  properly constructed, supplied, cleaned",No,Women's restroom does not have covered receptacle.,605,32
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,51,Hot and cold water available; adequate pressure; plumbing maintained,No,Plumbing not maintained. (Leak at old mop sink.),605,33
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,50,Nonfood-contact surfaces clean,No,"Non-food contact surfaces clean. (Grease buildup on side of oven, hot holding prep table.)",605,34
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,44,"In-use utensils, properly stored",No,In-use utensils improperly stored (knife in between cambros).,605,35
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,41,Wiping cloths:  properly used and stored,No,Wiping cloths not properly stored in sanitizer.,605,36
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,37,Thermometers provided and accurate,No,Thermometers not provided throughout units.,605,37
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic chemicals not properly stored or labeled.,605,38
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,21,PROPER COLD HOLDING TEMPERATURES,Yes,Improper cold holding temperatures. (Held at 49 degrees F),605,39
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not cleaned adequately.,605,40
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",No,Food contact surfaces lined with absobent material.  Gasket(s) in poor repair.  Ice accumulation inside of reach-in freezer.,605,41
33399,6/24/2020 4:00:00 AM,1552493,FOOD SERVICE,WICKS PIZZA,975,BAXTER AVE,LOUISVILLE,KY,40204,REGULAR,83,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper drinking in food prep area.,605,42
107592,9/3/2020 4:00:00 AM,1561015,FOOD SERVICE,WENDYS,1630,KENTUCKY MILLS DR,LOUISVILLE,KY,40299,REGULAR,92,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below.  Sliced tomatoes, cut leafy greens, and guacamole held at temperatures above 50 degrees F.  All items voluntarily discarded.",605,43
45368,10/16/2020 4:00:00 AM,1567608,FOOD SERVICE,BOOTLEG BARBEQUE,9704,BARDSTOWN RD,LOUISVILLE,KY,40291,REGULAR,96,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,The approved sanitizing solution for mechanical ware-washing is not at the proper concentration.,605,44
106098,7/8/2020 4:00:00 AM,1551830,FOOD SERVICE,FUJI ASIAN BISTRO,6801,DIXIE HWY STE 102,LOUISVILLE,KY,40258,REGULAR,89,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below (cooked rice in the walk-in refrigerator) (Discarded).,605,45
106098,7/8/2020 4:00:00 AM,1551830,FOOD SERVICE,FUJI ASIAN BISTRO,6801,DIXIE HWY STE 102,LOUISVILLE,KY,40258,REGULAR,89,26,CONSUMER ADVISORY PROVIDED FOR RAW & UNDERCOOKED FOODS,Yes,No consumer advisory for raw/undercooked food.  No written disclosure of menu items with risk.,605,46
71328,1/26/2021 5:00:00 AM,1580050,FOOD SERVICE,TSUNAMI / KROGER #186,2219,HOLIDAY MANOR CENTER,LOUISVILLE,KY,40222,REGULAR,95,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below. (Shrimp, crab meat, cream cheese, tempura shrimp)  ",605,47
103068,7/31/2020 4:00:00 AM,1555180,FOOD SERVICE,SUBWAY,2300,TERRA CROSSING BLVD STE 101,LOUISVILLE,KY,40245,REGULAR,90,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below.  Sliced tomatoes, shredded lettuce, and spinach held at 54 degrees F on sandwich make line.  Veggie patties held at 52 degrees F in reach-in cooler underneath oven.  All Items quarantined and voluntarily discarded.",605,48
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,1,"PERSON IN CHARGE  PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",Yes,Person-in-charge doesn’t demonstrate food safety knowledge.,605,49
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,2,Certified food protection manager,No,No certified food manager present.,605,50
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,14,"REQUIRED RECORDS, SHELLSTOCK TAGS, PARASITE DESTRUCTION",Yes,Molluscan shellfish tags not being dated.,605,51
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storage of employee food/drinks. (throughout facility)  Personal drinks do not have a lid and straw.,605,52
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,"Toxic items improperly stored. (next to and above food, clean equipment, single service items, and food preparation stations.)  Toxic items not labeled.",605,53
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,55,Garbage/refuse properly disposed; facilities maintained,No,Garbage/refuse containers not covered as required. (dumpster),605,54
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Knife contaminated by raw fish stored with clean utensils.  Rust on scissors used to open food containers.  Chipped knife.,605,55
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,56
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,44,"In-use utensils, properly stored",No,In use utensil stored in stagnant water at below 135 degrees F.  In use utensils stored on absorbent towels.,605,57
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,56,"Physical facilities installed, maintained and clean",No,Employee personal items improperly stored.,605,58
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,39,"Contamination prevented during food preparation, storage and display",No,Food not stored at least 6 inches above the floor.,605,59
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,49,"Ware washing facilities:  installed, maintained, used, test strips",No,No chemical test kit. (quaternary ammonia test strips),605,60
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below. (Cooked potatoes, cooked corn, and sausage holding at 50 degrees F)(bar sauces holding at room temperature)",605,61
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,37,Thermometers provided and accurate,No,Lack of accurate thermometers in all refrigeration/freezer units storing TCS food.,605,62
111953,4/6/2021 4:00:00 AM,1589671,FOOD SERVICE,STORMING CRAB,4809,OUTER LOOP,LOUISVILLE,KY,40219,REGULAR,77,46,"Single use/single service articles:  properly stored, used",No,Utensil handles not stored facing one direction to minimize hand contact with the business end or with the handles stored face up.,605,63
57205,4/5/2021 4:00:00 AM,1589446,FOOD SERVICE,EL RODEO MEXICAN RESTAURANT,5204,ELZIE RD,LOUISVILLE,KY,40258,REGULAR,88,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below on prep table  case of bacon not under refridgeration,605,64
88045,8/26/2021 4:00:00 AM,1619605,FOOD SERVICE,DAIRY QUEEN,9080,DIXIE HWY,LOUISVILLE,KY,40258,REGULAR,89,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below- tomatoes. ,605,65
88045,8/26/2021 4:00:00 AM,1619605,FOOD SERVICE,DAIRY QUEEN,9080,DIXIE HWY,LOUISVILLE,KY,40258,REGULAR,89,52,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,Yes,The hot water generation/distribution system is not sufficient to meet peak hot water demands- no hot water available in any sinks. ,605,66
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,10,Adequate hand washing facilities supplied and accessible,No,Individual disposable towels not provided at hand sink.  Hand cleaner not provided at hand washing sink.,605,67
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,34,Proper cooling methods used; adequate equipment for temperature control,No,Lack of properly maintained refrigeration unit for TCS food.,605,68
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,39,"Contamination prevented during food preparation, storage and display",No,Food stored in grocery bag.   Cooked rice stored in trash bag at the steam table.,605,69
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,49,"Ware washing facilities:  installed, maintained, used, test strips",No,No chemical test kit.,605,70
83107,6/15/2021 4:00:00 AM,1603474,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ANGEL HOUSE CHILD DEVELOPMENT CENTER,9216,BLUE LICK RD,LOUISVILLE,KY,40229,REGULAR,88,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of rodents.,605,71
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Improper storage of employee food/drinks. (inside of reach-in coolers, and next to clean equipment)  Personal drinks do not have a lid and straw.",605,72
79560,9/17/2020 4:00:00 AM,1562876,FOOD SERVICE,SHIRAZ MEDITERRANEAN GRILL,2210,HOLIDAY MANOR CTR,LOUISVILLE,KY,40222,REGULAR,84,10,Adequate hand washing facilities supplied and accessible,No,Hand cleaner not provided at lavatory or hand washing sink.  Hand washing sink is used for other purposes than hand washing. ,605,73
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,41,Wiping cloths:  properly used and stored,No,Cloths in use not stored in sanitizing solution.,605,74
104667,6/29/2021 4:00:00 AM,1606450,FOOD SERVICE,TACO BELL #34668,6800,BARDSTOWN RD,LOUISVILLE,KY,40291,REGULAR,95,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed properly.,605,75
83107,6/15/2021 4:00:00 AM,1603474,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ANGEL HOUSE CHILD DEVELOPMENT CENTER,9216,BLUE LICK RD,LOUISVILLE,KY,40229,REGULAR,88,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items not labeled.,605,76
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (chicken holding inside of a reach-in cooler at 52 degrees F) (eggs holding inside of reach-in cooler at 75 degrees F) (discarded)  ,605,77
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,54,"Toilet facilities:  properly constructed, supplied, cleaned",No,Toilet room door not self-closing (women restroom).  No papertowel at the men restroom.,605,78
65089,5/11/2021 4:00:00 AM,1596578,FOOD SERVICE,POPEYE'S LOUISIANA KITCHEN,5003,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,88,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized.  Utensils not being sanitized properly.,605,79
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,Waste water not disposed of in an approved manner (leak at the bottom of the three compartment sink).,605,80
65089,5/11/2021 4:00:00 AM,1596578,FOOD SERVICE,POPEYE'S LOUISIANA KITCHEN,5003,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,88,52,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,Yes,No hot water available at the kitchen hand sinks.,605,81
83107,6/15/2021 4:00:00 AM,1603474,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ANGEL HOUSE CHILD DEVELOPMENT CENTER,9216,BLUE LICK RD,LOUISVILLE,KY,40229,REGULAR,88,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storage of employee food/drinks. (next to and above childrens milk inside reach-in cooler),605,82
34371,9/25/2020 4:00:00 AM,1564418,FOOD SERVICE,GOLDEN BUDDHA RESTAURANT,8000,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,82,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded.",605,83
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items not labeled (Spray bottles).,605,84
109438,2/23/2021 5:00:00 AM,1583037,FOOD SERVICE,SAM'S SEAFOOD,4918,POPLAR LEVEL RD,LOUISVILLE,KY,40219,REGULAR,85,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking, or smoking in unauthorized area.  Personal drinks observed on food prep surfaces.",605,85
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items improperly stored. (over clean dishes)  Toxic items not labeled.,605,86
79560,9/17/2020 4:00:00 AM,1562876,FOOD SERVICE,SHIRAZ MEDITERRANEAN GRILL,2210,HOLIDAY MANOR CTR,LOUISVILLE,KY,40222,REGULAR,84,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,The approved sanitizing solution for manual/mechanical ware-washing is not at the proper concentration. (Dish machine) ,605,87
92726,8/6/2021 4:00:00 AM,1614624,FOOD SERVICE,ACAPULCO,5404,ANTLE DR,LOUISVILLE,KY,40229,REGULAR,76,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized. (soda nozzles),605,88
78298,3/5/2021 5:00:00 AM,1584696,FOOD SERVICE,SUBWAY,3935,S 7TH STREET RD STE A,LOUISVILLE,KY,40216,REGULAR,86,8,HANDS CLEAN AND PROPERLY WASHED,Yes,"Hands not washed properly.  CORRECTED  ALWAYS USE A BARRIER TO TURN OFF WATER AT HAND SINK, CORRECTED",605,89
103982,7/12/2021 4:00:00 AM,1608749,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,78,37,Thermometers provided and accurate,No,Lack of proper thermometer for checking cooking and holding temperatures of TCS food.,605,90
79560,9/17/2020 4:00:00 AM,1562876,FOOD SERVICE,SHIRAZ MEDITERRANEAN GRILL,2210,HOLIDAY MANOR CTR,LOUISVILLE,KY,40222,REGULAR,84,38,Food properly labeled; original container,No,Commercially canned or packaged products without label. (bakery items) ,605,91
